date,zone,generated_mt,day_of_week,month,is_weekend,is_festival,festival_name,zone_type,pop_proxy
2015-06-27,Adayar,1.779,5,6,1,0,,residential,13
2015-06-28,Adayar,1.66,6,6,1,0,,residential,13
2015-06-29,Adayar,1.638,0,6,0,0,,residential,13
2015-06-30,Adayar,1.579,1,6,0,0,,residential,13
2015-07-01,Adayar,1.588,2,7,0,0,,residential,13
2015-07-02,Adayar,1.609,3,7,0,0,,residential,13
2015-07-03,Adayar,1.597,4,7,0,0,,residential,13
2015-07-04,Adayar,1.755,5,7,1,0,,residential,13
2015-07-05,Adayar,1.685,6,7,1,0,,residential,13
2015-07-06,Adayar,1.662,0,7,0,0,,residential,13
2015-07-07,Adayar,1.499,1,7,0,0,,residential,13
2015-07-08,Adayar,1.643,2,7,0,0,,residential,13
2015-07-09,Adayar,1.503,3,7,0,0,,residential,13
2015-07-10,Adayar,1.553,4,7,0,0,,residential,13
2015-07-11,Adayar,1.658,5,7,1,0,,residential,13
2015-07-12,Adayar,1.689,6,7,1,0,,residential,13
2015-07-13,Adayar,1.649,0,7,0,0,,residential,13
2015-07-14,Adayar,1.545,1,7,0,0,,residential,13
2015-07-15,Adayar,1.623,2,7,0,0,,residential,13
2015-07-16,Adayar,1.58,3,7,0,0,,residential,13
2015-07-17,Adayar,1.548,4,7,0,0,,residential,13
2015-07-18,Adayar,1.719,5,7,1,0,,residential,13
2015-07-19,Adayar,1.79,6,7,1,0,,residential,13
2015-07-20,Adayar,1.693,0,7,0,0,,residential,13
2015-07-21,Adayar,1.516,1,7,0,0,,residential,13
2015-07-22,Adayar,1.537,2,7,0,0,,residential,13
2015-07-23,Adayar,1.592,3,7,0,0,,residential,13
2015-07-24,Adayar,1.586,4,7,0,0,,residential,13
2015-07-25,Adayar,1.672,5,7,1,0,,residential,13
2015-07-26,Adayar,1.765,6,7,1,0,,residential,13
2015-07-27,Adayar,1.604,0,7,0,0,,residential,13
2015-07-28,Adayar,1.631,1,7,0,0,,residential,13
2015-07-29,Adayar,1.594,2,7,0,0,,residential,13
2015-07-30,Adayar,1.516,3,7,0,0,,residential,13
2015-07-31,Adayar,1.545,4,7,0,0,,residential,13
2015-08-01,Adayar,1.698,5,8,1,0,,residential,13
2015-08-02,Adayar,1.735,6,8,1,0,,residential,13
2015-08-03,Adayar,1.638,0,8,0,0,,residential,13
2015-08-04,Adayar,1.516,1,8,0,0,,residential,13
2015-08-05,Adayar,1.504,2,8,0,0,,residential,13
2015-08-06,Adayar,1.595,3,8,0,0,,residential,13
2015-08-07,Adayar,1.583,4,8,0,0,,residential,13
2015-08-08,Adayar,1.732,5,8,1,0,,residential,13
2015-08-09,Adayar,1.74,6,8,1,0,,residential,13
2015-08-10,Adayar,1.617,0,8,0,0,,residential,13
2015-08-11,Adayar,1.578,1,8,0,0,,residential,13
2015-08-12,Adayar,1.689,2,8,0,0,,residential,13
2015-08-13,Adayar,1.625,3,8,0,0,,residential,13
2015-08-14,Adayar,1.556,4,8,0,0,,residential,13
2015-08-15,Adayar,1.869,5,8,1,1,Independence,residential,13
2015-08-16,Adayar,1.578,6,8,1,0,,residential,13
2015-08-17,Adayar,1.701,0,8,0,0,,residential,13
2015-08-18,Adayar,1.606,1,8,0,0,,residential,13
2015-08-19,Adayar,1.544,2,8,0,0,,residential,13
2015-08-20,Adayar,1.502,3,8,0,0,,residential,13
2015-08-21,Adayar,1.515,4,8,0,0,,residential,13
2015-08-22,Adayar,1.749,5,8,1,0,,residential,13
2015-08-23,Adayar,1.722,6,8,1,0,,residential,13
2015-08-24,Adayar,1.682,0,8,0,0,,residential,13
2015-08-25,Adayar,1.574,1,8,0,0,,residential,13
2015-08-26,Adayar,1.615,2,8,0,0,,residential,13
2015-08-27,Adayar,1.587,3,8,0,0,,residential,13
2015-08-28,Adayar,1.608,4,8,0,0,,residential,13
2015-08-29,Adayar,1.618,5,8,1,0,,residential,13
2015-08-30,Adayar,1.662,6,8,1,0,,residential,13
2015-08-31,Adayar,1.63,0,8,0,0,,residential,13
2015-09-01,Adayar,1.62,1,9,0,0,,residential,13
2015-09-02,Adayar,1.658,2,9,0,0,,residential,13
2015-09-03,Adayar,1.562,3,9,0,0,,residential,13
2015-09-04,Adayar,1.541,4,9,0,0,,residential,13
2015-09-05,Adayar,1.625,5,9,1,0,,residential,13
2015-09-06,Adayar,1.771,6,9,1,0,,residential,13
2015-09-07,Adayar,1.621,0,9,0,0,,residential,13
2015-09-08,Adayar,1.908,1,9,0,1,Ganesh Chathurthi,residential,13
2015-09-09,Adayar,1.893,2,9,0,1,Ganesh Chathurthi,residential,13
2015-09-10,Adayar,2.253,3,9,0,1,Ganesh Chathurthi,residential,13
2015-09-11,Adayar,1.979,4,9,0,1,Ganesh Chathurthi,residential,13
2015-09-12,Adayar,1.868,5,9,1,1,Ganesh Chathurthi,residential,13
2015-09-13,Adayar,1.738,6,9,1,0,,residential,13
2015-09-14,Adayar,1.686,0,9,0,0,,residential,13
2015-09-15,Adayar,1.559,1,9,0,0,,residential,13
2015-09-16,Adayar,1.609,2,9,0,0,,residential,13
2015-09-17,Adayar,1.608,3,9,0,0,,residential,13
2015-09-18,Adayar,1.598,4,9,0,0,,residential,13
2015-09-19,Adayar,1.726,5,9,1,0,,residential,13
2015-09-20,Adayar,1.666,6,9,1,0,,residential,13
2015-09-21,Adayar,1.644,0,9,0,0,,residential,13
2015-09-22,Adayar,1.578,1,9,0,0,,residential,13
2015-09-23,Adayar,1.481,2,9,0,0,,residential,13
2015-09-24,Adayar,1.577,3,9,0,0,,residential,13
2015-09-25,Adayar,1.565,4,9,0,0,,residential,13
2015-09-26,Adayar,1.659,5,9,1,0,,residential,13
2015-09-27,Adayar,1.709,6,9,1,0,,residential,13
2015-09-28,Adayar,1.633,0,9,0,0,,residential,13
2015-09-29,Adayar,1.66,1,9,0,0,,residential,13
2015-09-30,Adayar,1.58,2,9,0,0,,residential,13
2015-10-01,Adayar,1.703,3,10,0,0,,residential,13
2015-10-02,Adayar,1.646,4,10,0,0,,residential,13
2015-10-03,Adayar,1.715,5,10,1,0,,residential,13
2015-10-04,Adayar,2.086,6,10,1,1,Dussehra,residential,13
2015-10-05,Adayar,2.126,0,10,0,1,Dussehra,residential,13
2015-10-06,Adayar,1.84,1,10,0,1,Dussehra,residential,13
2015-10-07,Adayar,1.6,2,10,0,0,,residential,13
2015-10-08,Adayar,1.656,3,10,0,0,,residential,13
2015-10-09,Adayar,1.705,4,10,0,0,,residential,13
2015-10-10,Adayar,1.868,5,10,1,0,,residential,13
2015-10-11,Adayar,1.904,6,10,1,0,,residential,13
2015-10-12,Adayar,1.825,0,10,0,0,,residential,13
2015-10-13,Adayar,1.551,1,10,0,0,,residential,13
2015-10-14,Adayar,1.593,2,10,0,0,,residential,13
2015-10-15,Adayar,1.562,3,10,0,0,,residential,13
2015-10-16,Adayar,1.683,4,10,0,0,,residential,13
2015-10-17,Adayar,1.779,5,10,1,0,,residential,13
2015-10-18,Adayar,1.791,6,10,1,0,,residential,13
2015-10-19,Adayar,1.723,0,10,0,0,,residential,13
2015-10-20,Adayar,1.671,1,10,0,0,,residential,13
2015-10-21,Adayar,1.578,2,10,0,0,,residential,13
2015-10-22,Adayar,1.802,3,10,0,1,Deepavali,residential,13
2015-10-23,Adayar,2.093,4,10,0,1,Deepavali,residential,13
2015-10-24,Adayar,2.636,5,10,1,1,Deepavali,residential,13
2015-10-25,Adayar,2.3,6,10,1,1,Deepavali,residential,13
2015-10-26,Adayar,1.919,0,10,0,1,Deepavali,residential,13
2015-10-27,Adayar,1.546,1,10,0,0,,residential,13
2015-10-28,Adayar,1.699,2,10,0,0,,residential,13
2015-10-29,Adayar,1.616,3,10,0,0,,residential,13
2015-10-30,Adayar,1.595,4,10,0,0,,residential,13
2015-10-31,Adayar,1.724,5,10,1,0,,residential,13
2015-11-01,Adayar,1.739,6,11,1,0,,residential,13
2015-11-02,Adayar,1.685,0,11,0,0,,residential,13
2015-11-03,Adayar,1.64,1,11,0,0,,residential,13
2015-11-04,Adayar,1.592,2,11,0,0,,residential,13
2015-11-05,Adayar,1.661,3,11,0,0,,residential,13
2015-11-06,Adayar,1.64,4,11,0,0,,residential,13
2015-11-07,Adayar,1.938,5,11,1,0,,residential,13
2015-11-08,Adayar,1.724,6,11,1,0,,residential,13
2015-11-09,Adayar,1.743,0,11,0,0,,residential,13
2015-11-10,Adayar,1.661,1,11,0,0,,residential,13
2015-11-11,Adayar,1.601,2,11,0,0,,residential,13
2015-11-12,Adayar,1.657,3,11,0,0,,residential,13
2015-11-13,Adayar,1.69,4,11,0,0,,residential,13
2015-11-14,Adayar,1.823,5,11,1,0,,residential,13
2015-11-15,Adayar,1.893,6,11,1,0,,residential,13
2015-11-16,Adayar,1.621,0,11,0,0,,residential,13
2015-11-17,Adayar,1.61,1,11,0,0,,residential,13
2015-11-18,Adayar,1.725,2,11,0,0,,residential,13
2015-11-19,Adayar,1.697,3,11,0,0,,residential,13
2015-11-20,Adayar,1.679,4,11,0,0,,residential,13
2015-11-21,Adayar,1.884,5,11,1,0,,residential,13
2015-11-22,Adayar,1.713,6,11,1,0,,residential,13
2015-11-23,Adayar,1.776,0,11,0,0,,residential,13
2015-11-24,Adayar,1.705,1,11,0,0,,residential,13
2015-11-25,Adayar,1.619,2,11,0,0,,residential,13
2015-11-26,Adayar,1.782,3,11,0,0,,residential,13
2015-11-27,Adayar,1.662,4,11,0,0,,residential,13
2015-11-28,Adayar,1.698,5,11,1,0,,residential,13
2015-11-29,Adayar,1.838,6,11,1,0,,residential,13
2015-11-30,Adayar,1.697,0,11,0,0,,residential,13
2015-12-01,Adayar,1.71,1,12,0,0,,residential,13
2015-12-02,Adayar,1.679,2,12,0,0,,residential,13
2015-12-03,Adayar,1.622,3,12,0,0,,residential,13
2015-12-04,Adayar,1.727,4,12,0,0,,residential,13
2015-12-05,Adayar,1.868,5,12,1,0,,residential,13
2015-12-06,Adayar,1.772,6,12,1,0,,residential,13
2015-12-07,Adayar,1.727,0,12,0,0,,residential,13
2015-12-08,Adayar,1.678,1,12,0,0,,residential,13
2015-12-09,Adayar,1.634,2,12,0,0,,residential,13
2015-12-10,Adayar,1.635,3,12,0,0,,residential,13
2015-12-11,Adayar,1.654,4,12,0,0,,residential,13
2015-12-12,Adayar,1.759,5,12,1,0,,residential,13
2015-12-13,Adayar,1.696,6,12,1,0,,residential,13
2015-12-14,Adayar,1.747,0,12,0,0,,residential,13
2015-12-15,Adayar,1.553,1,12,0,0,,residential,13
2015-12-16,Adayar,1.603,2,12,0,0,,residential,13
2015-12-17,Adayar,1.564,3,12,0,0,,residential,13
2015-12-18,Adayar,1.57,4,12,0,0,,residential,13
2015-12-19,Adayar,1.841,5,12,1,0,,residential,13
2015-12-20,Adayar,1.805,6,12,1,0,,residential,13
2015-12-21,Adayar,1.721,0,12,0,0,,residential,13
2015-12-22,Adayar,1.587,1,12,0,0,,residential,13
2015-12-23,Adayar,1.62,2,12,0,0,,residential,13
2015-12-24,Adayar,1.796,3,12,0,1,Christmas,residential,13
2015-12-25,Adayar,1.897,4,12,0,1,Christmas,residential,13
2015-12-26,Adayar,2.002,5,12,1,1,Christmas,residential,13
2015-12-27,Adayar,1.87,6,12,1,0,,residential,13
2015-12-28,Adayar,1.722,0,12,0,0,,residential,13
2015-12-29,Adayar,1.56,1,12,0,0,,residential,13
2015-12-30,Adayar,1.776,2,12,0,1,New Year,residential,13
2015-12-31,Adayar,1.977,3,12,0,1,New Year,residential,13
2016-01-01,Adayar,1.614,4,1,0,0,,residential,13
2016-01-02,Adayar,1.76,5,1,1,0,,residential,13
2016-01-03,Adayar,1.821,6,1,1,0,,residential,13
2016-01-04,Adayar,1.861,0,1,0,0,,residential,13
2016-01-05,Adayar,1.628,1,1,0,0,,residential,13
2016-01-06,Adayar,1.652,2,1,0,0,,residential,13
2016-01-07,Adayar,1.587,3,1,0,0,,residential,13
2016-01-08,Adayar,1.714,4,1,0,0,,residential,13
2016-01-09,Adayar,1.865,5,1,1,0,,residential,13
2016-01-10,Adayar,1.861,6,1,1,0,,residential,13
2016-01-11,Adayar,1.805,0,1,0,0,,residential,13
2016-01-12,Adayar,1.794,1,1,0,1,Pongal,residential,13
2016-01-13,Adayar,1.964,2,1,0,1,Pongal,residential,13
2016-01-14,Adayar,2.258,3,1,0,1,Pongal,residential,13
2016-01-15,Adayar,2.02,4,1,0,1,Pongal,residential,13
2016-01-16,Adayar,1.866,5,1,1,1,Pongal,residential,13
2016-01-17,Adayar,1.842,6,1,1,0,,residential,13
2016-01-18,Adayar,1.704,0,1,0,0,,residential,13
2016-01-19,Adayar,1.697,1,1,0,0,,residential,13
2016-01-20,Adayar,1.672,2,1,0,0,,residential,13
2016-01-21,Adayar,1.566,3,1,0,0,,residential,13
2016-01-22,Adayar,1.665,4,1,0,0,,residential,13
2016-01-23,Adayar,1.829,5,1,1,0,,residential,13
2016-01-24,Adayar,1.837,6,1,1,0,,residential,13
2016-01-25,Adayar,1.765,0,1,0,0,,residential,13
2016-01-26,Adayar,1.899,1,1,0,1,Republic Day,residential,13
2016-01-27,Adayar,1.673,2,1,0,0,,residential,13
2016-01-28,Adayar,1.653,3,1,0,0,,residential,13
2016-01-29,Adayar,1.709,4,1,0,0,,residential,13
2016-01-30,Adayar,1.94,5,1,1,0,,residential,13
2016-01-31,Adayar,1.867,6,1,1,0,,residential,13
2016-02-01,Adayar,1.745,0,2,0,0,,residential,13
2016-02-02,Adayar,1.673,1,2,0,0,,residential,13
2016-02-03,Adayar,1.665,2,2,0,0,,residential,13
2016-02-04,Adayar,1.653,3,2,0,0,,residential,13
2016-02-05,Adayar,1.759,4,2,0,0,,residential,13
2016-02-06,Adayar,1.776,5,2,1,0,,residential,13
2016-02-07,Adayar,1.88,6,2,1,0,,residential,13
2016-02-08,Adayar,1.728,0,2,0,0,,residential,13
2016-02-09,Adayar,1.579,1,2,0,0,,residential,13
2016-02-10,Adayar,1.643,2,2,0,0,,residential,13
2016-02-11,Adayar,1.625,3,2,0,0,,residential,13
2016-02-12,Adayar,1.681,4,2,0,0,,residential,13
2016-02-13,Adayar,1.822,5,2,1,0,,residential,13
2016-02-14,Adayar,1.762,6,2,1,0,,residential,13
2016-02-15,Adayar,1.811,0,2,0,0,,residential,13
2016-02-16,Adayar,1.706,1,2,0,0,,residential,13
2016-02-17,Adayar,1.731,2,2,0,0,,residential,13
2016-02-18,Adayar,1.664,3,2,0,0,,residential,13
2016-02-19,Adayar,1.65,4,2,0,0,,residential,13
2016-02-20,Adayar,1.856,5,2,1,0,,residential,13
2016-02-21,Adayar,1.786,6,2,1,0,,residential,13
2016-02-22,Adayar,1.741,0,2,0,0,,residential,13
2016-02-23,Adayar,1.643,1,2,0,0,,residential,13
2016-02-24,Adayar,1.58,2,2,0,0,,residential,13
2016-02-25,Adayar,1.658,3,2,0,0,,residential,13
2016-02-26,Adayar,1.63,4,2,0,0,,residential,13
2016-02-27,Adayar,1.804,5,2,1,0,,residential,13
2016-02-28,Adayar,1.837,6,2,1,0,,residential,13
2016-02-29,Adayar,1.801,0,2,0,0,,residential,13
2016-03-01,Adayar,1.69,1,3,0,0,,residential,13
2016-03-02,Adayar,1.717,2,3,0,0,,residential,13
2016-03-03,Adayar,1.695,3,3,0,0,,residential,13
2016-03-04,Adayar,1.691,4,3,0,0,,residential,13
2016-03-05,Adayar,1.874,5,3,1,0,,residential,13
2016-03-06,Adayar,1.897,6,3,1,0,,residential,13
2016-03-07,Adayar,1.853,0,3,0,0,,residential,13
2016-03-08,Adayar,1.751,1,3,0,0,,residential,13
2016-03-09,Adayar,1.68,2,3,0,0,,residential,13
2016-03-10,Adayar,1.802,3,3,0,0,,residential,13
2016-03-11,Adayar,1.784,4,3,0,0,,residential,13
2016-03-12,Adayar,1.857,5,3,1,0,,residential,13
2016-03-13,Adayar,1.978,6,3,1,0,,residential,13
2016-03-14,Adayar,1.839,0,3,0,0,,residential,13
2016-03-15,Adayar,1.727,1,3,0,0,,residential,13
2016-03-16,Adayar,1.753,2,3,0,0,,residential,13
2016-03-17,Adayar,1.733,3,3,0,0,,residential,13
2016-03-18,Adayar,1.763,4,3,0,0,,residential,13
2016-03-19,Adayar,1.919,5,3,1,0,,residential,13
2016-03-20,Adayar,1.889,6,3,1,0,,residential,13
2016-03-21,Adayar,1.711,0,3,0,0,,residential,13
2016-03-22,Adayar,1.762,1,3,0,0,,residential,13
2016-03-23,Adayar,1.715,2,3,0,0,,residential,13
2016-03-24,Adayar,1.775,3,3,0,0,,residential,13
2016-03-25,Adayar,1.76,4,3,0,0,,residential,13
2016-03-26,Adayar,1.888,5,3,1,0,,residential,13
2016-03-27,Adayar,1.967,6,3,1,0,,residential,13
2016-03-28,Adayar,1.833,0,3,0,0,,residential,13
2016-03-29,Adayar,1.743,1,3,0,0,,residential,13
2016-03-30,Adayar,1.727,2,3,0,0,,residential,13
2016-04-01,Adayar,1.925,4,4,0,0,,residential,13
2016-04-02,Adayar,1.973,5,4,1,0,,residential,13
2016-04-03,Adayar,1.996,6,4,1,0,,residential,13
2016-04-04,Adayar,1.853,0,4,0,0,,residential,13
2016-04-05,Adayar,1.872,1,4,0,0,,residential,13
2016-04-06,Adayar,1.8,2,4,0,0,,residential,13
2016-04-07,Adayar,1.807,3,4,0,0,,residential,13
2016-04-08,Adayar,1.804,4,4,0,0,,residential,13
2016-04-09,Adayar,2.02,5,4,1,0,,residential,13
2016-04-10,Adayar,1.94,6,4,1,0,,residential,13
2016-04-11,Adayar,1.795,0,4,0,0,,residential,13
2016-04-12,Adayar,1.858,1,4,0,0,,residential,13
2016-04-13,Adayar,1.931,2,4,0,1,Tamil New Year,residential,13
2016-04-14,Adayar,2.349,3,4,0,1,Tamil New Year,residential,13
2016-04-15,Adayar,2.158,4,4,0,1,Tamil New Year,residential,13
2016-04-16,Adayar,2.006,5,4,1,0,,residential,13
2016-04-17,Adayar,2.094,6,4,1,0,,residential,13
2016-04-18,Adayar,1.923,0,4,0,0,,residential,13
2016-04-19,Adayar,1.92,1,4,0,0,,residential,13
2016-04-20,Adayar,1.988,2,4,0,1,Eid,residential,13
2016-04-21,Adayar,2.043,3,4,0,1,Eid,residential,13
2016-04-22,Adayar,2.011,4,4,0,1,Eid,residential,13
2016-04-23,Adayar,2.119,5,4,1,0,,residential,13
2016-04-24,Adayar,2.048,6,4,1,0,,residential,13
2016-04-25,Adayar,1.894,0,4,0,0,,residential,13
2016-04-26,Adayar,1.851,1,4,0,0,,residential,13
2016-04-27,Adayar,1.886,2,4,0,0,,residential,13
2016-04-28,Adayar,1.828,3,4,0,0,,residential,13
2016-04-29,Adayar,1.977,4,4,0,0,,residential,13
2016-04-30,Adayar,1.984,5,4,1,0,,residential,13
2016-05-01,Adayar,2.076,6,5,1,0,,residential,13
2016-05-02,Adayar,1.968,0,5,0,0,,residential,13
2016-05-03,Adayar,1.794,1,5,0,0,,residential,13
2016-05-04,Adayar,1.809,2,5,0,0,,residential,13
2016-05-05,Adayar,1.888,3,5,0,0,,residential,13
2016-05-06,Adayar,1.84,4,5,0,0,,residential,13
2016-05-07,Adayar,2.036,5,5,1,0,,residential,13
2016-05-08,Adayar,1.917,6,5,1,0,,residential,13
2016-05-09,Adayar,1.962,0,5,0,0,,residential,13
2016-05-10,Adayar,1.848,1,5,0,0,,residential,13
2016-05-11,Adayar,1.829,2,5,0,0,,residential,13
2016-05-12,Adayar,1.852,3,5,0,0,,residential,13
2016-05-13,Adayar,1.81,4,5,0,0,,residential,13
2016-05-14,Adayar,1.98,5,5,1,0,,residential,13
2016-05-15,Adayar,2.001,6,5,1,0,,residential,13
2016-05-16,Adayar,1.897,0,5,0,0,,residential,13
2016-05-17,Adayar,1.952,1,5,0,0,,residential,13
2016-05-18,Adayar,1.883,2,5,0,0,,residential,13
2016-05-19,Adayar,1.779,3,5,0,0,,residential,13
2016-05-20,Adayar,1.944,4,5,0,0,,residential,13
2016-05-21,Adayar,1.99,5,5,1,0,,residential,13
2016-05-22,Adayar,2.017,6,5,1,0,,residential,13
2016-05-23,Adayar,1.976,0,5,0,0,,residential,13
2016-05-24,Adayar,1.724,1,5,0,0,,residential,13
2016-05-25,Adayar,1.819,2,5,0,0,,residential,13
2016-05-26,Adayar,1.801,3,5,0,0,,residential,13
2016-05-27,Adayar,1.844,4,5,0,0,,residential,13
2016-05-28,Adayar,2.038,5,5,1,0,,residential,13
2016-05-29,Adayar,2.011,6,5,1,0,,residential,13
2016-05-30,Adayar,1.917,0,5,0,0,,residential,13
2016-05-31,Adayar,1.891,1,5,0,0,,residential,13
2016-06-01,Adayar,1.673,2,6,0,0,,residential,13
2016-06-02,Adayar,1.66,3,6,0,0,,residential,13
2016-06-03,Adayar,1.665,4,6,0,0,,residential,13
2016-06-04,Adayar,1.924,5,6,1,0,,residential,13
2016-06-05,Adayar,1.833,6,6,1,0,,residential,13
2016-06-06,Adayar,1.714,0,6,0,0,,residential,13
2016-06-07,Adayar,1.563,1,6,0,0,,residential,13
2016-06-08,Adayar,1.587,2,6,0,0,,residential,13
2016-06-09,Adayar,1.635,3,6,0,0,,residential,13
2016-06-10,Adayar,1.653,4,6,0,0,,residential,13
2016-06-11,Adayar,1.793,5,6,1,0,,residential,13
2016-06-12,Adayar,1.843,6,6,1,0,,residential,13
2016-06-13,Adayar,1.711,0,6,0,0,,residential,13
2016-06-14,Adayar,1.612,1,6,0,0,,residential,13
2016-06-15,Adayar,1.688,2,6,0,0,,residential,13
2016-06-16,Adayar,1.726,3,6,0,0,,residential,13
2016-06-17,Adayar,1.603,4,6,0,0,,residential,13
2016-06-18,Adayar,1.837,5,6,1,0,,residential,13
2016-06-19,Adayar,1.72,6,6,1,0,,residential,13
2016-06-20,Adayar,1.664,0,6,0,0,,residential,13
2016-06-21,Adayar,1.629,1,6,0,0,,residential,13
2016-06-22,Adayar,1.714,2,6,0,0,,residential,13
2016-06-23,Adayar,1.619,3,6,0,0,,residential,13
2016-06-24,Adayar,1.617,4,6,0,0,,residential,13
2016-06-25,Adayar,1.826,5,6,1,0,,residential,13
2016-06-26,Adayar,1.826,6,6,1,0,,residential,13
2016-06-27,Adayar,1.7,0,6,0,0,,residential,13
2016-06-28,Adayar,1.757,1,6,0,0,,residential,13
2016-06-29,Adayar,1.645,2,6,0,0,,residential,13
2016-06-30,Adayar,1.664,3,6,0,0,,residential,13
